EcoTypeID,VegID,treeSpecfrac,EcoTypeDescription,Domain,,,,
2203,Calocedrus decurrens,0.000542888,,SCAQMD,,,,
2203,Cedrus atlantica,0.003800217,,SCAQMD,,,,
2203,Ceiba speciosa,0.001628664,,SCAQMD,,,,
2203,Ceratonia siliqua,0.000542888,,SCAQMD,,,,
2203,Cercis canadensis,0.100434311,,SCAQMD,,,,
2203,Chamaerops humilis,0.001628664,,SCAQMD,,,,
2203,Chitalpa tashkentensis,0.014115092,,SCAQMD,,,,
2203,Cinnamomum camphora,0.016829533,,SCAQMD,,,,
2203,Citrus limon,0.000542888,,SCAQMD,,,,
2203,Citrus sinensis,0.002714441,,SCAQMD,,,,
2203,Cupaniopsis anacardioides,0.075461455,,SCAQMD,,,,
2203,Cupressus sempervirens,0.007600434,,SCAQMD,,,,
2203,Cycas revoluta,0.000542888,,SCAQMD,,,,
2203,Eucalyptus camaldulensis,0.001085776,,SCAQMD,,,,
2203,Eucalyptus polyanthemos,0.005428882,,SCAQMD,,,,
2203,Ficus carica,0.000542888,,SCAQMD,,,,
2203,Fraxinus uhdei,0.007600434,,SCAQMD,,,,
2203,Fraxinus velutina,0.02660152,,SCAQMD,,,,
2203,Ginkgo biloba,0.002171553,,SCAQMD,,,,
2203,Gleditsia triacanthos,0.003257329,,SCAQMD,,,,
2203,Handroanthus impetiginosus,0.001085776,,SCAQMD,,,,
2203,Jacaranda mimosifolia,0.007600434,,SCAQMD,,,,
2203,Juglans nigra,0.001085776,,SCAQMD,,,,
2203,Juniperus chinensis,0.003800217,,SCAQMD,,,,
2203,Koelreuteria bipinnata,0.024972856,,SCAQMD,,,,
2203,Koelreuteria paniculata,0.002171553,,SCAQMD,,,,
2203,Lagerstroemia indica,0.168838219,,SCAQMD,,,,
2203,Ligustrum lucidum,0.001628664,,SCAQMD,,,,
2203,Liquidambar styraciflua,0.054831705,,SCAQMD,,,,
2203,Liriodendron tulipifera,0.001628664,,SCAQMD,,,,
2203,Lophostemon confertus,0.002714441,,SCAQMD,,,,
2203,Magnolia grandiflora,0.048317047,,SCAQMD,,,,
2203,Malus domestica,0.000542888,,SCAQMD,,,,
2203,Melaleuca quinquenervia,0.002171553,,SCAQMD,,,,
2203,Melia azedarach,0.001085776,,SCAQMD,,,,
